protocol,model,dtype,config_id,batch_size,batch_timeout,run,dataset,users,spawn_rate,duration,request_count,failure_count,rps,p50_ms,p95_ms,p99_ms,stats_csv,html_report,gpu_csv,log_file
rest,uni,bf16,B1,8,0.01,1,prompts,100,1,15m,49912,0,55.59664298886142,1800,2100,2200,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-rest-bf16-B1-uni-prompts-run1_stats.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-rest-bf16-B1-uni-prompts-run1.html,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/gpu-ray-rest-bf16-B1-uni-prompts-run1.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/logs/sweep/ray-rest-bf16-B1-uni-prompts-run1.log
grpc,uni,bf16,B1,8,0.01,1,prompts,100,1,15m,20245,0,22.358477245395434,44,50,54,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-grpc-bf16-B1-uni-prompts-run1_stats.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-grpc-bf16-B1-uni-prompts-run1.html,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/gpu-ray-grpc-bf16-B1-uni-prompts-run1.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/logs/sweep/ray-grpc-bf16-B1-uni-prompts-run1.log
rest,uni,bf16,B2,8,0.05,1,prompts,100,1,15m,53140,0,59.16115239969414,1600,2300,4100,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-rest-bf16-B2-uni-prompts-run1_stats.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-rest-bf16-B2-uni-prompts-run1.html,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/gpu-ray-rest-bf16-B2-uni-prompts-run1.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/logs/sweep/ray-rest-bf16-B2-uni-prompts-run1.log
grpc,uni,bf16,B2,8,0.05,1,prompts,100,1,15m,10586,0,11.59574243158501,83,99,100,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-grpc-bf16-B2-uni-prompts-run1_stats.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-grpc-bf16-B2-uni-prompts-run1.html,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/gpu-ray-grpc-bf16-B2-uni-prompts-run1.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/logs/sweep/ray-grpc-bf16-B2-uni-prompts-run1.log
rest,uni,bf16,B3,16,0.01,1,prompts,100,1,15m,54700,0,60.93197494320123,1600,1800,1900,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-rest-bf16-B3-uni-prompts-run1_stats.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-rest-bf16-B3-uni-prompts-run1.html,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/gpu-ray-rest-bf16-B3-uni-prompts-run1.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/logs/sweep/ray-rest-bf16-B3-uni-prompts-run1.log
grpc,uni,bf16,B3,16,0.01,1,prompts,100,1,15m,21090,0,23.272475538012504,42,46,48,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-grpc-bf16-B3-uni-prompts-run1_stats.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-grpc-bf16-B3-uni-prompts-run1.html,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/gpu-ray-grpc-bf16-B3-uni-prompts-run1.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/logs/sweep/ray-grpc-bf16-B3-uni-prompts-run1.log
rest,uni,bf16,B4,16,0.05,1,prompts,100,1,15m,56971,0,63.458322341020875,1500,1700,1800,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-rest-bf16-B4-uni-prompts-run1_stats.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-rest-bf16-B4-uni-prompts-run1.html,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/gpu-ray-rest-bf16-B4-uni-prompts-run1.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/logs/sweep/ray-rest-bf16-B4-uni-prompts-run1.log
grpc,uni,bf16,B4,16,0.05,1,prompts,100,1,15m,10539,0,11.533701469949909,84,98,100,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-grpc-bf16-B4-uni-prompts-run1_stats.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-grpc-bf16-B4-uni-prompts-run1.html,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/gpu-ray-grpc-bf16-B4-uni-prompts-run1.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/logs/sweep/ray-grpc-bf16-B4-uni-prompts-run1.log
rest,uni,bf16,B5,32,0.05,1,prompts,100,1,15m,59302,0,66.0676262143657,1500,1700,1800,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-rest-bf16-B5-uni-prompts-run1_stats.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-rest-bf16-B5-uni-prompts-run1.html,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/gpu-ray-rest-bf16-B5-uni-prompts-run1.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/logs/sweep/ray-rest-bf16-B5-uni-prompts-run1.log
grpc,uni,bf16,B5,32,0.05,1,prompts,100,1,15m,10289,0,11.253181727923625,85,98,100,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-grpc-bf16-B5-uni-prompts-run1_stats.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-grpc-bf16-B5-uni-prompts-run1.html,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/gpu-ray-grpc-bf16-B5-uni-prompts-run1.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/logs/sweep/ray-grpc-bf16-B5-uni-prompts-run1.log
rest,uni,bf16,B6,32,0.10,1,prompts,100,1,15m,59201,0,65.90454707242722,1500,1700,1800,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-rest-bf16-B6-uni-prompts-run1_stats.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-rest-bf16-B6-uni-prompts-run1.html,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/gpu-ray-rest-bf16-B6-uni-prompts-run1.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/logs/sweep/ray-rest-bf16-B6-uni-prompts-run1.log
grpc,uni,bf16,B6,32,0.10,1,prompts,100,1,15m,6268,0,6.772831142386949,150,160,160,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-grpc-bf16-B6-uni-prompts-run1_stats.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-grpc-bf16-B6-uni-prompts-run1.html,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/gpu-ray-grpc-bf16-B6-uni-prompts-run1.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/logs/sweep/ray-grpc-bf16-B6-uni-prompts-run1.log
